Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,Description
C7,63.119,43.688,TopLayer,180,06035C104KAT2A,CAPC1608X90N,"CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V"
C6,62.992,60.071,TopLayer,180,06035C104KAT2A,CAPC1608X90N,"CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V"
C5,63.119,45.847,TopLayer,180,06035C104KAT2A,CAPC1608X90N,"CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V"
R10_A_IN_1,43.815,55.4991,TopLayer,270,100k,RESC1608X55N,
R24_A_IN_1,34.2901,44.831,TopLayer,0,100k,RESC1608X55N,
R18_A_IN_1,29.21,54.8641,TopLayer,270,100k,RESC1608X55N,
R2_A_IN_1,43.942,48.387,TopLayer,90,100k,RESC1608X55N,
R10_A_IN_2,46.8631,32.1439,TopLayer,270,100k,RESC1608X55N,
R2_A_IN_2,46.863,27.94,TopLayer,90,100k,RESC1608X55N,
R24_A_IN_2,33.528,25.273,TopLayer,90,100k,RESC1608X55N,
R18_A_IN_2,25.654,34.2901,TopLayer,270,100k,RESC1608X55N,
R17_A_IN_1,57.023,38.7479,TopLayer,180,10k,RESC1608X50N,RP 1J 0.166W 10K 0.1% 25PPM 1K RL
R17_A_IN_2,53.858,24.5239,TopLayer,180,10k,RESC1608X50N,RP 1J 0.166W 10K 0.1% 25PPM 1K RL
R5_A_IN_1,38.862,44.8439,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R5_A_IN_2,39.116,24.7779,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R12_A_IN_1,19.304,58.9409,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R21_A_IN_1,20.32,52.8449,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R20_A_IN_1,31.651,59.4489,TopLayer,180,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R27_A_IN_1,16.002,44.0691,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R13_A_IN_1,43.942,59.4361,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R26_A_IN_1,27.94,58.8139,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R4_A_IN_1,16.51,58.3059,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R26_A_IN_2,29.7181,37.6049,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R20_A_IN_2,33.1165,36.4379,TopLayer,180,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R13_A_IN_2,41.656,38.608,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R21_A_IN_2,20.574,31.3691,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R12_A_IN_2,20.457,39.2559,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R4_A_IN_2,17.663,39.1289,TopLayer,270,1K,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R27_A_IN_2,13.081,23.3681,TopLayer,0,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H1,9.868,16.1419,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H2,15.964,16.1419,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H3,21.7184,16.2191,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H4,28.194,16.256,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H5,34.544,16.129,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H6,40.367,16.1259,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H7,46.59,16.1259,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R1_H8,52.813,16.1259,TopLayer,90,1k,RESC1608X50N,CPF 0603 100R 1% 50PPM 1K RL
R8_A_IN_1,41.783,51.5621,TopLayer,270,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R8_A_IN_2,48.905,39.6369,TopLayer,270,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R29_A_IN_1,24.892,49.784,TopLayer,270,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R23_A_IN_1,25.6541,52.959,TopLayer,0,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R16_A_IN_1,28.956,50.419,TopLayer,0,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R23_A_IN_2,25.654,29.464,TopLayer,90,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R29_A_IN_2,29.21,29.591,TopLayer,270,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
R16_A_IN_2,29.21,25.273,TopLayer,0,1M,RESC1508X55N,"RES, THIN FILM, 1M, 1%, 0.1W, 0603"
D1_H1,12.7,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H2,18.796,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H3,24.892,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H4,30.988,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H5,37.084,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H6,43.18,19.939,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H7,49.403,20.066,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
D1_H8,56.134,20.447,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
C1_A_IN_1,11.43,48.1331,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C1_A_IN_2,11.712,31.6359,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
