Altium Designer Pick and Place Locations
C:\Users\maxab\Documents\Courses\ELEC 494\headsup\hardware\pi_hat\Project Outputs for pi_hat\Pick Place\pi_hat_rev2.txt

========================================================================================================================
File Design Information:

Date:       24/03/23
Time:       21:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Center-X(mm) Center-Y(mm) Layer    Rotation Comment        Footprint           Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C7         63.1190      43.6880      TopLayer 180      06035C104KAT2A CAPC1608X90N        "CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V" 
C6         62.9920      60.0710      TopLayer 180      06035C104KAT2A CAPC1608X90N        "CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V" 
C5         63.1190      45.8470      TopLayer 180      06035C104KAT2A CAPC1608X90N        "CAPACITOR, 0603, 100NF, 50V, X7R; Application:Standard; Capacitance:100000pF; Capacitance Tolerance:± 10%; Series:06035C; Voltage, Rating:50V dc; Capacitor Dielectric Type:Ceramic Multi-Layer; Case Style:0603; Termination Type:SMD; Dielectric Characteristic:X7R; Max Operating Temperature:125°C; Min Temperature Operating:-55°C; Operating Temperature Range:-55°C to +125°C; Terminal Type:Surface Mount (SMD, SMT); Tolerance, +:10%; Tolerance, -:10%; Voltage Rating, DC:50V" 
R10_A_IN_1 43.8150      55.4991      TopLayer 270      100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24_A_IN_1 34.2901      44.8310      TopLayer 0        100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R18_A_IN_1 29.2100      54.8641      TopLayer 270      100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R2_A_IN_1  43.9420      48.3870      TopLayer 90       100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R10_A_IN_2 46.8631      32.1439      TopLayer 270      100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R2_A_IN_2  46.8630      27.9400      TopLayer 90       100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24_A_IN_2 33.5280      25.2730      TopLayer 90       100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R18_A_IN_2 25.6540      34.2901      TopLayer 270      100k           RESC1608X55N        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
